"Easy Tabs","Легкі вкладки"
"Add New Tab","Додати нову вкладку"
"New Tab","Нова вкладка"
Alias,Псевдонім
"Manage Tabs","Управління вкладками"
"This tab no longer exists.","Ця вкладка більше не існує."
"Tab has been saved.","Вкладку збережено."
"Something went wrong while saving the tab.","Щось пішло не так, зберігаючи вкладку."
"Html content","Вміст Html"
Unset,"Не встановлено"
"Custom Block","Спеціальний блок"
"Product Description","Опис продукту"
"We Also Recommend","Ми також рекомендуємо"
"Product's Reviews","Відгуки про товар"
"Replace default Magento tabs with powerful tabs from Swissup.","Замінити дефлотні Magento таби на потужні таби від Swissup."
"Show product description in tab","Показувати таб опису продукту"
